Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2025-01-21,199.16343688964844,203.36358890568238,198.97387851504385,200.0413698339001,19005200
2025-01-22,199.5625,201.64761171687047,198.73443800219633,200.08128894793919,15477400
2025-01-23,199.11355590820312,201.4680408724352,196.36001188825463,199.51261496391953,15170800
2025-01-24,201.42813110351562,202.0965786351782,199.31707911067167,199.3829343605458,12732400
2025-01-27,193.317138671875,198.20568064788733,192.2496320933797,193.7361552506937,24970200
2025-01-28,196.6094207763672,196.76903525923464,192.15983786632293,194.19506333680457,15939200
2025-01-29,196.7191619873047,197.996184495964,194.73382257250486,196.90872037272584,12287800
2025-01-30,202.1564178466797,202.76299853350355,199.00579397760555,199.29311526162687,14571500
2025-01-31,205.11949157714844,206.5960283580682,203.10420832301156,203.23888732975223,17087300
2025-02-03,202.1663818359375,204.7403535931693,201.18867658994463,201.74237211672164,16719500
2025-02-04,207.22454833984375,208.21222477597146,203.7825994771977,204.02204403120282,28285400
2025-02-05,192.84823608398438,194.09531467321975,189.46615955890312,192.64870655433216,43666400
2025-02-06,192.8582000732422,193.37698900958168,190.04479879639024,190.54363021356718,20816600
2025-02-07,186.70262145996094,192.56389058817888,184.66739598425335,192.28953939908743,29565700
2025-02-10,187.7601318359375,189.5459567340878,187.1715144502766,188.6181224342211,16606000
2025-02-11,186.63279724121094,188.35874971464176,185.64510553629137,186.39834586180146,13028100
2025-02-12,184.99661254882812,186.39334965443638,183.20083162081673,184.79708302606318,17632300
2025-02-13,187.44088745117188,187.55063096558857,184.44789911958088,185.49543285713702,12729300
2025-02-14,186.43325805664062,187.710265328906,185.67503974596042,186.39335823950063,12714200
2025-02-18,185.36575317382812,187.34112127548525,183.1509405174052,187.00191957357848,19796000
2025-02-19,186.69264221191406,186.9221003904601,185.06644699762356,185.74984357105208,13120500
2025-02-20,186.20379638671875,186.68267029911405,184.1685708416933,186.06412419463982,12063800
2025-02-21,181.15562438964844,187.03185804052796,180.70667914617334,186.85227080926163,19520800
2025-02-24,180.7665252685547,184.657404101475,180.45725223608233,183.37042578693251,18734000
2025-02-25,176.9554443359375,180.3375205878845,176.3568557953225,179.73393886191508,20832500
2025-02-26,174.29168701171875,177.66379212576618,173.18428070180607,176.53145033526187,23637200
2025-02-27,169.81219482421875,176.17727324661973,169.35525745967232,175.5287985046505,25930500
2025-02-28,171.81748962402344,172.0968339917832,167.99643925122783,169.9019788637596,30049800
2025-03-03,168.2658233642578,174.5910023086314,167.24820297404042,173.32396620083026,24122000
2025-03-04,172.2065887451172,174.75561007301968,167.14843068284262,167.54750496505613,30711400
2025-03-05,174.58103942871094,175.33925776575026,170.530515195884,171.9172812655315,18848000
2025-03-06,173.8028564453125,176.3169559339047,172.10482314675943,172.14673241646634,19082400
2025-03-07,175.33924865722656,176.48655486359908,171.84742862706844,172.83711457416246,16395300
2025-03-10,167.60853576660156,170.24536574432202,165.3662358448488,169.95572060530762,28990700
2025-03-11,165.78073120117188,168.45252282245698,163.044030416552,166.47988777970724,23705900
2025-03-12,168.79710388183594,169.3264663611627,165.28132561649218,168.2677414025092,19880100
2025-03-13,164.5322265625,167.91815603552024,163.87303051854863,167.7783247243221,15206200
2025-03-14,167.41876220703125,168.04801074979082,164.31249524714883,165.11653674517166,18611100
2025-03-17,166.37002563476562,168.2577559168053,165.6109283265474,167.12410882849613,17839100
